Message Size,1 Client,2 Clients,3 Clients,4 Clients
16 B,3034525.0,2045426.0,1934669.0,2135398.0,
32 B,2191499.5,1371590.0,1318211.0,1299724.5,
64 B,1440474.0,847981.0,797205.0,824231.0,
128 B,890558.25,488284.5,450274.0,460895.75,
256 B,528667.0625,263310.0625,240301.875,250900.75,
512 B,309961.53125,132040.0,128439.5,136003.71875,
1 KB,244983.96875,73792.1875,128385.328125,67241.875,
2 KB,161421.9921875,55763.4921875,57469.671875,55580.1640625,
4 KB,99703.98828125,35873.30078125,33994.734375,33086.13671875,
8 KB,69181.421875,21980.4296875,19427.244140625,19910.107421875,
16 KB,48070.998046875,12787.798828125,14814.556640625,12917.7236328125,
32 KB,38452.61181640625,12689.3271484375,10875.54541015625,9494.55419921875,
64 KB,33411.871337890625,9116.148681640625,8308.741455078125,8101.77099609375,
128 KB,29679.3720703125,7276.1829833984375,7145.4534912109375,7250.1142578125,
256 KB,27675.884399414062,7265.5531005859375,6711.8385009765625,6711.95703125,
512 KB,28966.112548828125,8044.0908203125,6766.5615234375,6945.703125,
1 MB,33881.16162109375,12323.80029296875,9450.27734375,9647.66650390625,
2 MB,43450.109375,19373.404296875,14861.1796875,14808.0283203125,
4 MB,49284.94921875,33307.900390625,24804.287109375,25098.80859375,
8 MB,70369.5703125,35820.88671875,36117.68359375,36098.1171875,
16 MB,70487.7421875,52993.0625,52329.8125,53829.9140625,
32 MB,164381.296875,114793.015625,114571.265625,117308.46875,
64 MB,301230.96875,227461.8125,250170.46875,253128.96875,
128 MB,546196.25,471664.625,479001.5625,472552.5,
256 MB,897524.5,845483.5,878897.75,892090.375,
512 MB,1755113.0,1564706.0,1618244.0,1581019.25,
1 GB,3355491.5,3071053.0,3259754.5,3021931.5,
2 GB,6034668.0,6445000.0,7377433.0,6594915.0,
