Message Size,1 Client,2 Clients,3 Clients,4 Clients
16 B,2535755.0,3411319.0,3041256.0,3550788.0,
32 B,1753586.0,2209030.0,2176656.0,2275622.0,
64 B,1348736.75,1732052.5,1525241.25,1502344.25,
128 B,809505.625,1223451.125,1018648.75,1186935.5,
256 B,587190.8125,637730.9375,538678.4375,552294.9375,
512 B,299606.3125,364110.25,316038.96875,313320.1875,
1 KB,246611.578125,230740.453125,216778.640625,212709.203125,
2 KB,163824.5390625,155569.5625,160408.5390625,159559.8046875,
4 KB,91200.34375,113643.1015625,108044.30859375,99597.4140625,
8 KB,65904.29296875,74672.5859375,68610.494140625,74827.392578125,
16 KB,47933.912109375,50516.3203125,49995.4150390625,51398.0087890625,
32 KB,36589.1279296875,39712.10205078125,39148.8046875,41024.4853515625,
64 KB,33462.32373046875,34771.231201171875,32934.831298828125,32413.4677734375,
128 KB,29631.926025390625,31928.904296875,31937.197143554688,31752.156860351562,
256 KB,27394.765258789062,29637.5419921875,29117.277221679688,29116.737548828125,
512 KB,29083.947021484375,30241.7978515625,30655.11767578125,31081.601806640625,
1 MB,34852.97998046875,38574.458984375,38590.00048828125,39642.3583984375,
2 MB,43063.5888671875,45066.5556640625,45027.4658203125,44795.611328125,
4 MB,50227.392578125,54423.2265625,53390.404296875,54040.41796875,
8 MB,73840.53515625,60758.33203125,59894.4921875,57921.45703125,
16 MB,70371.25,66577.5,66020.8046875,68448.6875,
32 MB,135333.921875,121280.625,123937.921875,123638.3125,
64 MB,299716.90625,246089.8125,241562.125,239592.53125,
128 MB,536546.8125,485198.4375,490773.625,517349.0,
256 MB,921542.5,822817.875,857902.375,900763.0,
512 MB,1892499.75,1657265.25,1646363.0,1493113.5,
1 GB,3375149.5,3215758.0,3036884.5,3017169.0,
2 GB,6284220.0,6379368.0,6756157.0,5390349.0,
