Message Size,1 Client,2 Clients,3 Clients,4 Clients
16 B,16.412191671691893,8.118371743667602,8.591735682823181,7.84846492742157,
32 B,29.68739209471893,15.36695332365799,16.325504320037844,15.56896513991165,
64 B,51.19373736018181,27.65934835589981,28.722948275987626,27.942999156467437,
128 B,95.6421035397501,50.32658824334717,54.932725216255186,53.08111380597782,
256 B,177.06005314139173,96.27273579989624,105.18413721698951,101.55576228565693,
512 B,346.45465528727004,194.77766405656504,200.61989911943436,189.66044977037143,
1 KB,651.5612790901189,352.0137152994198,353.1768341795985,387.8781554715679,
2 KB,1225.0341490443698,779.4854715313932,746.6623233065156,764.1251323501026,
4 KB,2085.515353919559,1478.7401287911089,1456.5080609803008,1475.8181413977745,
8 KB,3644.8112323303485,2529.7088864596994,2651.798415724902,2622.588041852613,
16 KB,5349.330117275113,4232.270161825582,4311.568908912957,4332.5329213989535,
32 KB,7042.561512447728,6267.2552769471,6461.702451284218,6485.051457049333,
64 KB,8200.345400736585,8931.337511380952,8678.51451424884,8735.468693807568,
128 KB,9198.891041155843,10341.908565405129,10223.410838170097,10085.58028753763,
256 KB,9849.966874957598,11622.03655054795,11301.288155948292,11299.578125528806,
512 KB,9299.533466252655,11393.362748403866,11931.34667212706,11608.81318218428,
1 MB,8024.245269453075,8902.686790990017,9856.768640197653,9622.311128856598,
2 MB,6509.044951150085,7432.831633288921,7752.9559124411335,7783.882223587903,
4 MB,5958.455691174871,6826.507629998059,6786.349552554918,6700.429220507044,
8 MB,4766.362259604959,6435.07713961119,6381.733699247616,6344.713037334042,
16 MB,6287.153824605634,6505.533230498892,6534.422768543382,6381.724683620132,
32 MB,5311.105279135711,5974.671798891293,5971.114807459953,5916.825009990169,
64 MB,5485.85561154393,5889.2361150231745,5762.380332425564,5763.911665521593,
128 MB,5933.834866915084,5954.659583674847,5898.57805793197,5911.295939463555,
256 MB,6263.514567806531,6174.482324542917,6134.864203356056,6087.653015107078,
512 MB,6525.271822688196,6521.1715990936855,6492.8466865278715,6541.260812515453,
1 GB,7503.061254260014,6950.21003863765,6662.218903897518,7015.40240079863,
2 GB,8155.636734347122,7603.264057499688,7489.887919873802,8130.101472439583,
