Message Size,1 Client,2 Clients,3 Clients,4 Clients
16 B,15.145893044067384,17.919918291015627,16.65051456944275,15.238855166130065,
32 B,27.840088119010925,26.862876931076052,25.803784395503996,28.522139027286528,
64 B,50.69664196169472,42.385594342063904,50.73075721505165,52.355615447908406,
128 B,95.54804220888232,95.63302593204212,95.86136410217762,96.33724621722507,
256 B,181.08633358667947,177.65829367242955,190.42791683604335,198.66180763189794,
512 B,345.3893252066998,355.90859870859356,357.18156577257605,356.849999961746,
1 KB,662.8820972411186,667.7660770834336,695.0840032853545,712.9790401006801,
2 KB,1240.5390045150762,1257.2234653961198,1285.9279018155119,1227.8488910329286,
4 KB,2204.681005232785,1952.4172310975637,2087.6538543749225,2122.3205376080514,
8 KB,3672.021724216987,3324.135121160146,3380.2322204918332,3415.076603837223,
16 KB,5409.992565537566,5014.332648796615,5208.116555464863,5078.713305854689,
32 KB,7005.003051865642,6582.633215413664,6745.118608634872,6585.529976926136,
64 KB,8186.381192360159,8104.515710131297,8370.510438084522,8412.341036472779,
128 KB,9223.54658984336,9228.072723160978,9247.618589182559,9269.595722400172,
256 KB,9950.860693518114,10024.197624736233,10177.339627376754,10221.727817300169,
512 KB,9302.578190106022,9932.499062141374,9807.190081311888,9738.498547209221,
1 MB,7865.964141447833,8153.683345141359,8161.293463481312,7933.526106249089,
2 MB,6583.647651335416,7113.341004563126,6996.306439695751,7161.315313338611,
4 MB,5964.3080661507975,6364.649759293776,6326.33021932392,6434.421223362785,
8 MB,4625.032249446551,6038.892777571264,6159.598302674278,6195.247687355835,
16 MB,6189.832855286013,6390.940969591047,6409.000540277506,6366.362875916406,
32 MB,5925.636851478364,6052.754298948774,6021.203167310818,6057.147923464218,
64 MB,5590.236493759133,5942.117949059159,5913.778588577726,5955.346230131501,
128 MB,5934.062486030067,6099.319799500838,6062.51520623869,6129.130129322628,
256 MB,6253.78605242489,6270.7850818076495,6315.735924475113,6315.2930552519865,
512 MB,6540.945473331552,6638.940164551086,6673.724733677938,6569.697383382284,
1 GB,7331.324096350181,7495.383806814815,7199.658434114498,7211.106552169773,
2 GB,8072.9058026309895,8564.329962975373,8200.687261372215,8302.026760659011,
